Date,Open,High,Low,Close,Adj Close,Volume
2020-03-05,191.240005,191.919998,185.639999,186.960007,184.296860,10106900
2020-03-06,183.539993,185.990005,179.979996,184.360001,181.733902,15183200
2020-03-09,171.210007,179.570007,168.309998,171.130005,168.692352,20486400
2020-03-10,179.470001,182.610001,171.880005,182.600006,179.998947,16119400
2020-03-11,177.649994,178.729996,170.199997,172.949997,170.486450,14598200
2020-03-12,158.500000,172.000000,156.990005,160.080002,157.799759,27467700
2020-03-13,168.720001,176.320007,162.210007,175.830002,173.325394,19948900
2020-03-16,151.139999,165.309998,147.979996,152.009995,149.844696,23692000
2020-03-17,155.750000,163.699997,149.250000,157.889999,155.640961,22298000
2020-03-18,148.460007,150.679993,139.800003,148.479996,146.364990,22787500
2020-03-19,146.919998,157.250000,141.470001,152.250000,150.081284,19362800
2020-03-20,154.820007,158.259995,145.669998,146.830002,144.738464,18692100
2020-03-23,141.330002,143.350006,133.929993,135.740005,133.806458,30344100
2020-03-24,144.839996,155.250000,143.580002,154.529999,152.328812,24488300
2020-03-25,159.320007,168.179993,153.580002,161.779999,159.475525,20619600
2020-03-26,162.080002,169.529999,161.789993,168.880005,166.474396,17062900
2020-03-27,161.080002,167.100006,158.149994,161.559998,159.258652,14950700
2020-03-30,161.039993,165.869995,160.690002,165.570007,163.211563,15714500
2020-03-31,166.429993,168.190002,160.539993,161.119995,158.824905,20613100
2020-04-01,156.320007,158.070007,151.419998,153.110001,150.929062,12595200
2020-04-02,152.529999,158.350006,151.289993,157.389999,155.148056,14051100
2020-04-03,155.559998,157.720001,150.600006,151.850006,149.686996,11994700
2020-04-06,160.020004,170.729996,158.250000,169.440002,167.026428,16479100
2020-04-07,177.759995,178.800003,168.100006,168.589996,166.188522,15379000
2020-04-08,171.009995,176.000000,167.929993,174.940002,172.448105,11146500
2020-04-09,176.270004,177.190002,172.850006,173.690002,171.215866,12231800
2020-04-13,172.259995,172.320007,166.149994,168.990005,166.582855,14043700
2020-04-14,173.089996,175.429993,170.830002,174.619995,172.132614,9980500
2020-04-15,168.699997,169.360001,164.949997,165.960007,163.596008,12118700
2020-04-16,167.110001,168.000000,159.800003,162.419998,160.106400,20308200
2020-04-17,169.649994,170.990005,164.949997,169.539993,167.125000,15375800
2020-04-20,167.330002,167.429993,163.199997,164.220001,161.880798,10505200
2020-04-21,162.000000,162.570007,159.149994,160.529999,158.243332,10562100
2020-04-22,164.660004,167.699997,162.919998,166.589996,164.217026,14502500
2020-04-23,167.880005,170.410004,166.210007,166.380005,164.010025,11411300
2020-04-24,168.440002,168.750000,164.009995,167.320007,164.936646,8391400
2020-04-27,168.649994,172.350006,168.550003,171.759995,169.313370,9903300
2020-04-28,175.000000,175.009995,170.380005,171.250000,168.810638,8614400
2020-04-29,176.850006,182.250000,176.100006,181.789993,179.200516,12862800
2020-04-30,181.779999,181.830002,177.660004,178.720001,176.174240,11331600
2020-05-01,174.449997,179.639999,174.270004,175.570007,173.069122,10109600
2020-05-04,172.949997,176.940002,171.720001,176.149994,173.640839,9386200
2020-05-05,179.089996,181.100006,178.259995,178.440002,175.898209,13513000
2020-05-06,179.720001,180.509995,177.880005,178.779999,176.233353,8540500
2020-05-07,181.750000,184.979996,181.710007,182.720001,180.117279,9262200
2020-05-08,185.029999,185.750000,183.619995,185.089996,182.453506,6470100
2020-05-11,183.869995,184.619995,181.429993,183.559998,180.945282,8683100
2020-05-12,183.559998,183.990005,179.369995,179.470001,176.913559,8219700
2020-05-13,178.500000,181.089996,175.039993,177.089996,174.859726,13377100
2020-05-14,175.940002,181.050003,173.820007,180.899994,178.621765,9695100
2020-05-15,179.979996,184.139999,178.869995,183.490005,181.179153,10785900
2020-05-18,188.000000,192.830002,187.470001,191.380005,188.969788,11802200
2020-05-19,191.139999,194.500000,189.229996,189.360001,186.975220,7446800
2020-05-20,193.000000,194.990005,192.410004,193.860001,191.418549,9545600
2020-05-21,193.500000,193.619995,190.020004,190.619995,188.219360,11338100
2020-05-22,191.000000,191.369995,189.229996,190.860001,188.456314,5807600
2020-05-26,195.800003,196.270004,192.759995,193.220001,190.786606,9662200
2020-05-27,194.309998,194.309998,188.520004,192.820007,190.391678,7650300
2020-05-28,193.539993,198.289993,192.710007,194.259995,191.813507,8352200
2020-05-29,194.500000,196.740005,193.279999,195.240005,192.781174,10211900
2020-06-01,194.710007,195.880005,193.520004,194.350006,191.902374,6011300
2020-06-02,195.940002,197.520004,194.919998,196.360001,193.887085,8462100
2020-06-03,198.000000,198.139999,195.570007,196.869995,194.390640,8879400
2020-06-04,195.979996,196.460007,193.119995,193.639999,191.201324,7829800
2020-06-05,196.199997,199.770004,195.479996,199.610001,197.096130,8561200
2020-06-08,199.580002,199.960007,197.130005,199.600006,197.086258,7628100
2020-06-09,198.360001,201.669998,198.240005,199.080002,196.572800,6892300
2020-06-10,199.899994,202.179993,198.949997,200.479996,197.955154,8405300
2020-06-11,195.139999,196.360001,188.750000,188.880005,186.501282,11974600
2020-06-12,194.210007,195.000000,187.850006,192.259995,189.838684,11706300
2020-06-15,187.000000,192.479996,186.210007,191.759995,189.344986,6752700
2020-06-16,196.860001,198.380005,191.800003,192.880005,190.450897,11057200
2020-06-17,193.660004,195.369995,193.059998,193.559998,191.122330,5968900
2020-06-18,192.600006,194.250000,192.110001,193.910004,191.467911,5803200
